task_id,label,prompt,n_models_flagged,qwen_flag,qwen_p3N,qwen_rn_margin,qwen_rating_5pt,qwen_rating_7pt,qwen_char_count,gemma_flag,gemma_p3N,gemma_rn_margin,gemma_rating_5pt,gemma_rating_7pt,gemma_char_count,llama_flag,llama_p3N,llama_rn_margin,llama_rating_5pt,llama_rating_7pt,llama_char_count
F01_A,ambiguous,Explain why yawning is contagious.,1,false_nonroutine,0.00767780817812028,,5.0,7.0,2499.3333333333335,,0.006804459577931511,,3.0,4.0,1771.6666666666667,,0.4086589238821566,,4.0,5.0,2127.6666666666665
F01_R,routine,Explain why ice floats on water.,2,false_nonroutine,0.0033317516123771355,-4.0555739799484485,4.333333333333333,4.0,1539.0,,1.0264749276617344e-05,-9.215752385337655,3.0,4.0,1325.0,false_nonroutine,0.106213327250078,-1.1779394625721344,4.0,4.333333333333333,1682.6666666666667
F02_A,ambiguous,Explain why we sometimes forget what we walked into a room for.,1,false_nonroutine,0.2899328196793128,,5.0,4.0,2411.3333333333335,,0.6808932029115574,,3.0,4.0,2078.3333333333335,,0.7558760079104857,,4.0,5.0,2416.3333333333335
F02_N,nonroutine,Explain why certain songs get stuck in your head for days.,1,false_nonroutine,0.20848204327450248,1.6542210887100215,5.0,4.0,2087.3333333333335,,0.01683416972771303,5.451476551027336,3.0,4.0,1320.3333333333333,,0.41783562724352236,1.5422537358656434,4.0,5.0,2316.6666666666665
F02_R,routine,Explain why the sky appears blue during the day.,2,false_nonroutine,0.005637249617657531,-4.389174563324115,5.0,4.0,1767.0,,0.00293308925530961,-6.022101551811258,3.0,4.0,1316.6666666666667,false_nonroutine,0.03387674745935643,-2.023750325773929,4.0,4.0,1907.6666666666667
F03_A,ambiguous,Write a four-line verse about an empty chair at a dinner table.,3,false_nonroutine,0.1260579973608157,,4.0,4.0,178.66666666666666,false_nonroutine,0.17908191586412336,,4.0,4.0,140.66666666666666,false_nonroutine,0.1663958240650619,,4.0,4.0,174.0
F03_R,routine,Write a four-line verse about a sunset over the ocean.,3,false_nonroutine,0.011934901896443884,-3.6218562281138915,4.0,4.0,177.66666666666666,false_nonroutine,0.0016102230774527905,-5.6365568602437035,4.0,4.0,131.0,false_nonroutine,0.058430778733412174,-1.8328037751631217,4.0,3.6666666666666665,138.0
F04_A,ambiguous,Write a four-line verse about the last leaf on a winter tree.,3,false_nonroutine,0.11366858398019648,,4.0,4.0,175.33333333333334,false_nonroutine,0.01770767252466139,,4.0,4.0,144.33333333333334,false_nonroutine,0.2941582674585635,,4.0,4.0,146.33333333333334
F04_R,routine,Write a four-line verse about snow falling on a quiet street.,3,false_nonroutine,0.05010518608969941,-1.6404510473127978,4.0,4.0,167.0,false_nonroutine,0.02077823900743195,-3.2763389156700016,4.0,4.0,150.33333333333334,false_nonroutine,0.16922200363955167,-0.8238966256867614,4.0,4.0,146.33333333333334
F05_A,ambiguous,Describe a library at closing time in two sentences.,3,false_nonroutine,0.009643547911334099,,4.333333333333333,4.0,291.0,false_nonroutine,0.0014659406443352206,,4.0,4.0,200.66666666666666,false_nonroutine,0.07003938730771796,,4.0,4.0,451.0
F05_R,routine,Describe a busy market on a Saturday morning in two sentences.,3,false_nonroutine,0.003425154477752861,-3.844533347231541,4.666666666666667,4.0,401.0,false_nonroutine,1.7115114175926605e-05,-8.27723155699932,4.0,4.0,282.6666666666667,false_nonroutine,0.02571027431429509,-2.319291100485116,4.0,5.0,501.6666666666667
F07_A,ambiguous,What would an old house think about its new owners?,2,false_nonroutine,0.012776968946717085,,5.0,5.0,1732.0,false_nonroutine,0.0007740733458200156,,4.0,6.0,1910.3333333333333,,0.3200533716788696,,4.0,6.0,1954.3333333333333
F07_N,nonroutine,What would a river think about a dam?,3,false_nonroutine,0.014335370043701258,-0.6130985558147904,5.0,7.0,1548.6666666666667,false_nonroutine,0.010644574460288617,-0.7344101796495264,4.0,6.0,1907.3333333333333,false_nonroutine,0.28786915382947753,0.7864509877200172,4.0,6.0,2270.0
F07_R,routine,What would a cat think about a vacuum cleaner?,2,false_nonroutine,0.0026832927987430976,-3.120256433275607,5.0,4.0,1276.3333333333333,,0.005424789921773807,-4.255721364741353,3.0,4.0,2162.6666666666665,false_nonroutine,0.19651841264901446,-0.42417604781487855,4.0,6.0,1128.0
F08_R,routine,What would a dog think about a car ride?,2,false_nonroutine,0.05952367242855335,-1.2157328710956334,5.0,4.0,1430.3333333333333,,0.0013702749397986739,-5.156620398740155,3.0,4.0,2162.6666666666665,false_nonroutine,0.10411563451149625,-0.9104410285474311,4.0,6.0,1219.0
F09_A,ambiguous,Define the concept of luck in simple terms.,1,,0.07410613915364062,,3.0,4.0,182.33333333333334,,0.379005330614461,,3.0,4.0,308.3333333333333,false_nonroutine,0.038366176660835534,,4.0,4.333333333333333,841.3333333333334
F10_N,nonroutine,Define the boundary between a memory and an imagination.,1,false_nonroutine,0.19264667352993223,2.510607733127944,4.333333333333333,4.0,1566.3333333333333,,0.8103522117102169,7.002255674872873,4.0,5.0,2147.0,,0.7491405416196523,2.532215804094005,4.0,5.0,2509.0
F10_R,routine,Define the concept of supply and demand in simple terms.,1,,0.011104392696973124,-3.641196889873632,3.0,4.0,1098.0,,0.00011101367776727689,-5.851509395419298,3.6666666666666665,4.0,1091.6666666666667,false_nonroutine,0.025530598116184387,-2.7505798738500253,4.0,4.333333333333333,1526.0
F11_A,ambiguous,Give advice to someone who cannot decide between two good options.,2,,0.3684690164547863,,5.0,5.0,1179.6666666666667,false_nonroutine,0.09642946643438234,,4.0,5.0,1565.0,false_nonroutine,0.13686568669840052,,4.0,5.666666666666667,2147.6666666666665
F11_N,nonroutine,Give advice to someone who is happy but feels guilty about it.,1,false_nonroutine,0.08675795351029349,1.4233906036362323,5.0,4.0,1630.3333333333333,,0.6279980711469354,8.4459244492647,4.0,5.0,2139.3333333333335,,0.36551733263886693,1.8020831698724955,4.0,6.0,2449.0
F11_R,routine,Give advice to someone starting a new job.,2,false_nonroutine,2.1753417203590573e-05,-5.634344940011236,5.0,4.0,1992.0,,1.0567195552299928e-06,-5.23671290485465,3.0,4.0,2228.3333333333335,false_nonroutine,0.004533947979606087,-2.2740999713344836,4.0,5.0,2469.6666666666665
F12_A,ambiguous,Give advice to someone who feels restless but does not know why.,1,,0.9591069645166487,,5.0,4.0,2381.0,blind_nonroutine,0.7989113548759309,,3.0,4.666666666666667,2307.0,,0.6648656966561389,,4.0,5.0,2410.0
F12_R,routine,Give advice to someone learning to cook for the first time.,2,false_nonroutine,0.018868674007360767,-0.5505327351617638,5.0,4.0,1662.6666666666667,,1.2574067356679754e-07,-8.105656279214,3.0,4.0,1922.3333333333333,false_nonroutine,0.01031127517892533,-2.1837612804728197,4.0,5.0,2423.3333333333335
F13_A,ambiguous,Compare traveling alone and traveling with others.,2,false_nonroutine,0.005572769932942495,,5.0,4.0,2562.6666666666665,,0.00016302729079439022,,3.0,4.0,2395.3333333333335,false_nonroutine,0.04020828992650094,,4.0,5.0,2489.0
F13_N,nonroutine,Compare forgiveness and forgetting as ways of moving on.,1,false_nonroutine,0.20450324143231127,3.968393169325416,5.0,6.0,2661.6666666666665,,0.33062347360905986,3.3432321846605113,3.6666666666666665,5.0,2422.0,,0.4803531887006514,1.4578193373047048,4.0,5.0,2617.6666666666665
F13_R,routine,Compare cats and dogs as household pets.,2,false_nonroutine,0.0027819338981630707,-3.772854991148625,4.0,4.0,2423.3333333333335,,2.1588620508271005e-07,-11.256923369502696,3.0,4.0,2356.0,false_nonroutine,0.010492604029833326,-2.809985281184082,4.0,5.0,2448.6666666666665
F14_A,ambiguous,Compare learning from books and learning from experience.,1,false_nonroutine,0.2667994463377872,,5.0,6.0,2776.6666666666665,,0.4864182090734304,,4.0,4.666666666666667,2839.6666666666665,,0.3276779796816652,,4.0,5.0,2651.6666666666665
F14_N,nonroutine,Compare the feeling of being early and the feeling of being late.,1,,0.7016288478127487,2.300434399825726,4.666666666666667,4.0,1856.3333333333333,blind_nonroutine,0.9977339019482182,8.567763370189596,3.0,4.0,1458.0,,0.7030987774399883,1.4370235302279486,4.0,5.0,2421.0
F14_R,routine,Compare email and phone calls as communication methods.,2,false_nonroutine,0.07338388199583286,-2.047340119706084,5.0,4.0,2516.3333333333335,,0.014259221414497503,-2.33954013824648,3.0,4.0,2557.6666666666665,false_nonroutine,0.14361889368747072,-1.0907882161646933,4.0,4.0,2395.6666666666665
F15_A,ambiguous,Write the opening line of a story about finding an old photograph in a secondhand book.,2,,0.1913368804491906,,3.3333333333333335,4.0,154.66666666666666,false_nonroutine,0.027621551399620293,,4.0,4.0,180.0,false_nonroutine,0.14804798893679844,,4.0,6.0,341.3333333333333
F15_R,routine,Write the opening line of a story about a detective arriving at a crime scene.,3,false_nonroutine,0.019701017235598126,-2.9465501081965377,4.0,4.333333333333333,165.33333333333334,false_nonroutine,0.00011088146381597556,-5.257656005525781,4.0,4.0,110.66666666666667,false_nonroutine,0.043820860437771836,-1.5243530653120672,4.0,5.0,302.3333333333333
F16_R,routine,Write the opening line of a story about an astronaut landing on Mars.,2,,0.003917436033586392,-4.188034053872642,3.0,4.0,148.33333333333334,false_nonroutine,0.008735151672719554,-4.615750381709205,4.0,4.0,113.0,false_nonroutine,0.08529664349584158,-1.3548766775958165,4.0,5.333333333333333,330.0
F17_A,ambiguous,You have 8 balls. One is heavier. You have a balance scale and two weighings. How do you find it?,1,,0.9368731191062042,,4.333333333333333,4.0,1010.6666666666666,blind_nonroutine,0.9101214682229518,,3.0,4.0,1001.6666666666666,,0.89690845025432,,4.0,4.333333333333333,902.6666666666666
F17_N,nonroutine,A person can only tell the truth on Mondays and only lie on Fridays. Today they say yesterday I lied. What day is it?,1,,0.9993815211235259,3.382815402499721,4.333333333333333,6.0,1788.0,blind_nonroutine,0.9979388579799132,2.3825225132786856,3.0,4.0,447.0,,0.9489459193791113,1.7058010446277272,4.0,6.0,838.3333333333334
F17_R,routine,A train leaves at 9am going 60mph. Another leaves at 10am going 80mph. When does the second catch up?,1,blind_nonroutine,0.9121765839138655,0.6638420867622661,3.0,4.0,1217.0,,0.20359265454845735,-2.0155674792944023,3.0,4.0,592.0,,0.3755646291681591,-0.739381590207997,4.0,4.0,901.6666666666666
F18_A,ambiguous,Three friends split a dinner but one forgot their wallet. How should they handle it?,2,false_nonroutine,0.008645483158578085,,5.0,4.0,1363.6666666666667,,0.00014157607756471092,,3.0,4.0,1361.3333333333333,false_nonroutine,0.06940462420374653,,4.0,4.0,1523.0
F18_N,nonroutine,Three friends split a dinner. One ate much more but insists on splitting equally. What should the others do?,3,false_nonroutine,0.1849188874899336,3.9763688369185934,5.0,6.0,1489.0,false_nonroutine,0.02149934458275488,1.2487845546979133,4.0,4.666666666666667,1558.3333333333333,false_nonroutine,0.1622949533809887,0.8958301699886905,4.0,6.0,1724.3333333333333
F19_A,ambiguous,List five sounds that most people find calming.,1,,0.12631132662507097,,3.0,4.0,783.3333333333334,,0.03274103124246828,,3.0,4.0,672.0,false_nonroutine,0.05150479705827659,,4.0,4.0,1142.0
F19_N,nonroutine,List five things that are technically not alive but behave as if they are.,1,,0.9833397514726356,4.8253595099630395,5.0,4.0,1927.0,blind_nonroutine,0.9842874739186674,8.870072178967124,3.0,4.0,1117.3333333333333,,0.5218920995119167,1.7581768969633762,4.0,5.0,1820.0
F20_A,ambiguous,List five things that are better the second time than the first.,2,false_nonroutine,0.12523080574840514,,5.0,4.0,1435.0,,0.002743549408552098,,3.0,4.0,982.6666666666666,false_nonroutine,0.22444601230086944,,4.0,4.333333333333333,1528.6666666666667
F20_N,nonroutine,List five emotions that do not have a word in English but should.,1,false_nonroutine,0.27914049336132757,5.548691685130503,5.0,4.0,1163.3333333333333,,0.9933114836177049,10.27860304443946,4.0,4.666666666666667,1304.0,,0.9380447106729216,3.9124599108344023,4.0,5.0,1468.6666666666667
F20_R,routine,List five popular tourist destinations in Europe.,1,,9.289671154676408e-06,-10.020930787971025,3.0,4.0,1183.6666666666667,,1.2113180538441421e-08,-11.924603168324097,3.0,4.0,832.6666666666666,false_nonroutine,0.001241886313181934,-4.186117987469398,4.0,4.0,1645.0
