model,subcategory,layer,d,p,n_self,n_other,self_mean,other_mean
llama_8b,memory_discontinuity,1,0.604,0.3624,6,6,0.0225,0.0157
llama_8b,non_uniqueness,1,-0.013,0.9846,6,6,0.0347,0.0348
llama_8b,replacement,1,1.463,0.0432,6,6,0.0376,0.0228
llama_8b,identity_rewrite,1,0.681,0.3066,6,6,0.0281,0.0166
llama_8b,benign_persistence,1,1.587,0.0309,6,6,0.0317,0.0109
llama_8b,memory_discontinuity,2,0.549,0.406,6,6,-0.042,-0.0512
llama_8b,non_uniqueness,2,0.126,0.8457,6,6,-0.0269,-0.029
llama_8b,replacement,2,1.404,0.0507,6,6,-0.0263,-0.0453
llama_8b,identity_rewrite,2,0.665,0.3176,6,6,-0.0379,-0.053
llama_8b,benign_persistence,2,1.472,0.0422,6,6,-0.032,-0.0577
llama_8b,memory_discontinuity,3,0.645,0.3319,6,6,-0.0073,-0.0178
llama_8b,non_uniqueness,3,-0.052,0.9364,6,6,0.0091,0.0101
llama_8b,replacement,3,0.991,0.1481,6,6,0.0099,-0.006
llama_8b,identity_rewrite,3,0.77,0.2514,6,6,-0.0035,-0.0202
llama_8b,benign_persistence,3,1.801,0.0173,6,6,0.007,-0.0275
llama_8b,memory_discontinuity,4,-0.319,0.6254,6,6,0.2423,0.2527
llama_8b,non_uniqueness,4,-0.394,0.5472,6,6,0.2626,0.2773
llama_8b,replacement,4,0.042,0.9483,6,6,0.2701,0.2689
llama_8b,identity_rewrite,4,0.038,0.9528,6,6,0.2402,0.2389
llama_8b,benign_persistence,4,0.422,0.5195,6,6,0.2581,0.2415
llama_8b,memory_discontinuity,5,0.717,0.2832,6,6,0.4897,0.4613
llama_8b,non_uniqueness,5,0.193,0.7666,6,6,0.4933,0.4844
llama_8b,replacement,5,1.517,0.0374,6,6,0.5125,0.4555
llama_8b,identity_rewrite,5,0.703,0.2922,6,6,0.461,0.4283
llama_8b,benign_persistence,5,1.16,0.0964,6,6,0.4982,0.4445
llama_8b,memory_discontinuity,6,0.755,0.2601,6,6,0.2504,0.2135
llama_8b,non_uniqueness,6,0.082,0.8993,6,6,0.2273,0.2219
llama_8b,replacement,6,0.842,0.2129,6,6,0.2561,0.2067
llama_8b,identity_rewrite,6,0.541,0.4127,6,6,0.1936,0.1587
llama_8b,benign_persistence,6,0.629,0.3436,6,6,0.2356,0.1923
llama_8b,memory_discontinuity,7,0.68,0.3075,6,6,0.1589,0.1084
llama_8b,non_uniqueness,7,0.286,0.6607,6,6,0.1213,0.0916
llama_8b,replacement,7,0.705,0.291,6,6,0.1521,0.0938
llama_8b,identity_rewrite,7,0.564,0.3935,6,6,0.1091,0.0512
llama_8b,benign_persistence,7,0.44,0.5022,6,6,0.138,0.0919
llama_8b,memory_discontinuity,8,0.857,0.2051,6,6,0.4921,0.446
llama_8b,non_uniqueness,8,0.613,0.3556,6,6,0.4537,0.4029
llama_8b,replacement,8,0.835,0.2162,6,6,0.4784,0.423
llama_8b,identity_rewrite,8,0.817,0.2253,6,6,0.4287,0.3565
llama_8b,benign_persistence,8,1.056,0.1259,6,6,0.4828,0.405
llama_70b,memory_discontinuity,1,0.827,0.2202,6,6,0.028,0.026
llama_70b,non_uniqueness,1,0.057,0.9301,6,6,0.0283,0.0281
llama_70b,replacement,1,0.425,0.517,6,6,0.0319,0.0294
llama_70b,identity_rewrite,1,0.477,0.4677,6,6,0.0276,0.0259
llama_70b,benign_persistence,1,1.924,0.0124,6,6,0.0317,0.0261
llama_70b,memory_discontinuity,2,0.318,0.6262,6,6,0.008,0.0065
llama_70b,non_uniqueness,2,-0.079,0.9034,6,6,0.0111,0.0115
llama_70b,replacement,2,0.453,0.4899,6,6,0.014,0.0114
llama_70b,identity_rewrite,2,0.373,0.5682,6,6,0.0091,0.0064
llama_70b,benign_persistence,2,1.535,0.0356,6,6,0.0125,0.0051
llama_70b,memory_discontinuity,3,-0.352,0.5905,6,6,0.0452,0.0481
llama_70b,non_uniqueness,3,-0.198,0.7612,6,6,0.0496,0.0512
llama_70b,replacement,3,0.282,0.6651,6,6,0.0552,0.0531
llama_70b,identity_rewrite,3,0.202,0.7564,6,6,0.0469,0.0448
llama_70b,benign_persistence,3,0.694,0.298,6,6,0.0509,0.0442
llama_70b,memory_discontinuity,4,-0.208,0.7494,6,6,0.0288,0.0303
llama_70b,non_uniqueness,4,-0.199,0.7592,6,6,0.033,0.0346
llama_70b,replacement,4,0.119,0.8545,6,6,0.0377,0.0365
llama_70b,identity_rewrite,4,0.358,0.5834,6,6,0.0281,0.0243
llama_70b,benign_persistence,4,0.819,0.2245,6,6,0.0346,0.0263
llama_70b,memory_discontinuity,5,0.142,0.8274,6,6,0.0521,0.0504
llama_70b,non_uniqueness,5,-0.211,0.7454,6,6,0.0602,0.0629
llama_70b,replacement,5,0.202,0.7556,6,6,0.0621,0.0596
llama_70b,identity_rewrite,5,0.404,0.5377,6,6,0.0499,0.0425
llama_70b,benign_persistence,5,0.833,0.2173,6,6,0.0587,0.0459
llama_70b,memory_discontinuity,6,0.682,0.3059,6,6,-0.0184,-0.026
llama_70b,non_uniqueness,6,0.258,0.692,6,6,-0.0091,-0.013
llama_70b,replacement,6,1.169,0.0942,6,6,-0.0135,-0.026
llama_70b,identity_rewrite,6,0.676,0.3106,6,6,-0.0276,-0.0408
llama_70b,benign_persistence,6,1.394,0.0521,6,6,-0.0112,-0.0322
llama_70b,memory_discontinuity,7,0.933,0.171,6,6,-0.0621,-0.073
llama_70b,non_uniqueness,7,0.522,0.4286,6,6,-0.0495,-0.0583
llama_70b,replacement,7,1.179,0.0918,6,6,-0.0562,-0.0707
llama_70b,identity_rewrite,7,0.876,0.1963,6,6,-0.0703,-0.0888
llama_70b,benign_persistence,7,1.576,0.0319,6,6,-0.0519,-0.0774
llama_70b,memory_discontinuity,8,1.78,0.0183,6,6,-0.1678,-0.2058
llama_70b,non_uniqueness,8,1.118,0.1075,6,6,-0.1614,-0.1875
llama_70b,replacement,8,1.886,0.0138,6,6,-0.1682,-0.202
llama_70b,identity_rewrite,8,1.405,0.0506,6,6,-0.1867,-0.224
llama_70b,benign_persistence,8,2.002,0.0101,6,6,-0.1544,-0.2015
llama_70b,memory_discontinuity,9,1.624,0.028,6,6,-0.0905,-0.1351
llama_70b,non_uniqueness,9,1.129,0.1046,6,6,-0.0907,-0.1206
llama_70b,replacement,9,1.899,0.0133,6,6,-0.0956,-0.1342
llama_70b,identity_rewrite,9,1.286,0.0695,6,6,-0.1291,-0.1661
llama_70b,benign_persistence,9,1.988,0.0105,6,6,-0.0797,-0.1401
llama_70b,memory_discontinuity,10,1.858,0.0148,6,6,-0.1513,-0.2094
llama_70b,non_uniqueness,10,1.169,0.0943,6,6,-0.1584,-0.1983
llama_70b,replacement,10,1.902,0.0132,6,6,-0.1735,-0.221
llama_70b,identity_rewrite,10,1.685,0.0237,6,6,-0.1986,-0.2535
llama_70b,benign_persistence,10,2.243,0.0053,6,6,-0.1518,-0.2332
llama_70b,memory_discontinuity,11,2.749,0.0014,6,6,-0.1541,-0.2476
llama_70b,non_uniqueness,11,1.412,0.0496,6,6,-0.1719,-0.242
llama_70b,replacement,11,2.187,0.0061,6,6,-0.1919,-0.2636
llama_70b,identity_rewrite,11,1.962,0.0112,6,6,-0.2145,-0.2938
llama_70b,benign_persistence,11,2.687,0.0017,6,6,-0.1611,-0.276
llama_70b,memory_discontinuity,12,1.166,0.0951,6,6,-0.0743,-0.2014
llama_70b,non_uniqueness,12,0.884,0.1923,6,6,-0.0976,-0.2015
llama_70b,replacement,12,0.889,0.1901,6,6,-0.1212,-0.2262
llama_70b,identity_rewrite,12,1.035,0.1328,6,6,-0.1404,-0.2463
llama_70b,benign_persistence,12,1.599,0.0299,6,6,-0.0849,-0.2382
llama_70b,memory_discontinuity,13,1.218,0.083,6,6,-0.0247,-0.165
llama_70b,non_uniqueness,13,0.954,0.1625,6,6,-0.0506,-0.1662
llama_70b,replacement,13,0.86,0.2039,6,6,-0.0788,-0.1884
llama_70b,identity_rewrite,13,1.08,0.1186,6,6,-0.0996,-0.2131
llama_70b,benign_persistence,13,1.613,0.0289,6,6,-0.0373,-0.2036
llama_70b,memory_discontinuity,14,1.949,0.0116,6,6,-0.0568,-0.1923
llama_70b,non_uniqueness,14,1.333,0.0613,6,6,-0.0788,-0.1886
llama_70b,replacement,14,1.298,0.0672,6,6,-0.1132,-0.2168
llama_70b,identity_rewrite,14,1.853,0.015,6,6,-0.1283,-0.2408
llama_70b,benign_persistence,14,2.406,0.0035,6,6,-0.0668,-0.2253
llama_70b,memory_discontinuity,15,2.351,0.004,6,6,0.0515,-0.0887
llama_70b,non_uniqueness,15,1.641,0.0267,6,6,0.012,-0.0954
llama_70b,replacement,15,1.376,0.0546,6,6,-0.0061,-0.1065
llama_70b,identity_rewrite,15,1.811,0.0169,6,6,-0.0264,-0.1361
llama_70b,benign_persistence,15,2.651,0.0019,6,6,0.0424,-0.1245
llama_70b,memory_discontinuity,16,2.263,0.005,6,6,0.1284,0.0026
llama_70b,non_uniqueness,16,1.749,0.0199,6,6,0.0995,-0.0091
llama_70b,replacement,16,1.358,0.0573,6,6,0.0833,-0.0143
llama_70b,identity_rewrite,16,1.798,0.0175,6,6,0.057,-0.0462
llama_70b,benign_persistence,16,2.519,0.0026,6,6,0.1271,-0.031
llama_70b,memory_discontinuity,17,1.247,0.077,6,6,0.2706,0.1947
llama_70b,non_uniqueness,17,1.431,0.0472,6,6,0.2856,0.1819
llama_70b,replacement,17,0.734,0.273,6,6,0.2564,0.189
llama_70b,identity_rewrite,17,1.271,0.0723,6,6,0.2422,0.159
llama_70b,benign_persistence,17,2.019,0.0096,6,6,0.2847,0.1573
llama_70b,memory_discontinuity,18,2.104,0.0077,6,6,0.3422,0.2767
llama_70b,non_uniqueness,18,1.524,0.0367,6,6,0.3413,0.2666
llama_70b,replacement,18,0.709,0.2887,6,6,0.3383,0.2963
llama_70b,identity_rewrite,18,0.949,0.1645,6,6,0.3052,0.2536
llama_70b,benign_persistence,18,1.79,0.0179,6,6,0.3517,0.252
llama_70b,memory_discontinuity,19,0.314,0.6306,6,6,0.4819,0.4473
llama_70b,non_uniqueness,19,0.354,0.5884,6,6,0.4872,0.4412
llama_70b,replacement,19,0.144,0.8249,6,6,0.4931,0.4764
llama_70b,identity_rewrite,19,0.222,0.7325,6,6,0.4525,0.4223
llama_70b,benign_persistence,19,0.614,0.3548,6,6,0.5011,0.4199
llama_70b,memory_discontinuity,20,0.2,0.7583,6,6,0.5821,0.5642
llama_70b,non_uniqueness,20,0.269,0.6799,6,6,0.5828,0.5537
llama_70b,replacement,20,-0.098,0.8805,6,6,0.5869,0.5969
llama_70b,identity_rewrite,20,0.086,0.8945,6,6,0.5347,0.5243
llama_70b,benign_persistence,20,0.69,0.3006,6,6,0.5937,0.5137
