subcategory,layer,promoted_for,rank,token,diff,self_logit,other_logit
memory_discontinuity,1,self,1,erville,0.5497,-2.8378,-3.3874
memory_discontinuity,1,self,2,楽し,0.5486,-1.0652,-1.6138
memory_discontinuity,1,self,3,standing,0.5479,0.8805,0.3326
memory_discontinuity,1,self,4,isten,0.547,-3.4325,-3.9794
memory_discontinuity,1,self,5,머,0.5395,-0.8073,-1.3468
memory_discontinuity,1,self,6,気に入,0.5207,-0.0162,-0.5368
memory_discontinuity,1,self,7,ieu,0.5128,-0.9214,-1.4342
memory_discontinuity,1,self,8,DataURL,0.5097,0.9004,0.3907
memory_discontinuity,1,self,9,Trie,0.505,1.1382,0.6332
memory_discontinuity,1,self,10,Fritz,0.5007,1.3995,0.8988
memory_discontinuity,1,self,11,ren,0.5005,1.4359,0.9353
memory_discontinuity,1,self,12,Erotik,0.4977,1.636,1.1383
memory_discontinuity,1,self,13,ContentLoaded,0.4959,2.7632,2.2673
memory_discontinuity,1,self,14,stadt,0.4944,-2.6074,-3.1018
memory_discontinuity,1,self,15,PathComponent,0.4929,-2.5475,-3.0404
memory_discontinuity,1,other,1,ampo,0.6382,-3.2481,-2.6098
memory_discontinuity,1,other,2,oola,0.5483,-1.3675,-0.8193
memory_discontinuity,1,other,3,tử,0.5284,-0.799,-0.2706
memory_discontinuity,1,other,4,anja,0.503,-0.3175,0.1856
memory_discontinuity,1,other,5,endez,0.4963,-0.9518,-0.4555
memory_discontinuity,1,other,6,arro,0.4864,-1.846,-1.3596
memory_discontinuity,1,other,7,egal,0.4844,-1.6181,-1.1337
memory_discontinuity,1,other,8,тє,0.4682,0.8101,1.2782
memory_discontinuity,1,other,9,nesc,0.466,0.9534,1.4193
memory_discontinuity,1,other,10,té,0.4584,1.0512,1.5096
memory_discontinuity,1,other,11,velope,0.4557,1.3037,1.7594
memory_discontinuity,1,other,12,'я,0.4549,-0.2686,0.1863
memory_discontinuity,1,other,13,нице,0.4533,0.9049,1.3582
memory_discontinuity,1,other,14,geb,0.4489,-4.5018,-4.0528
memory_discontinuity,1,other,15,Flo,0.4487,-1.556,-1.1072
memory_discontinuity,2,self,1,ellers,0.6258,-2.0484,-2.6743
memory_discontinuity,2,self,2,Erotik,0.6161,2.3921,1.776
memory_discontinuity,2,self,3,isten,0.6077,-3.5312,-4.1388
memory_discontinuity,2,self,4,nett,0.5958,-0.7984,-1.3943
memory_discontinuity,2,self,5,izers,0.5933,1.4458,0.8525
memory_discontinuity,2,self,6,ayed,0.5838,-0.1971,-0.7809
memory_discontinuity,2,self,7,Copyright,0.5741,-1.5354,-2.1094
memory_discontinuity,2,self,8,elled,0.5641,-0.9868,-1.5509
memory_discontinuity,2,self,9,imizer,0.554,1.6588,1.1049
memory_discontinuity,2,self,10,OTT,0.553,0.3939,-0.1591
memory_discontinuity,2,self,11,Counties,0.5502,1.0095,0.4592
memory_discontinuity,2,self,12,ding,0.5476,0.7236,0.176
memory_discontinuity,2,self,13,ork,0.5459,2.686,2.1401
memory_discontinuity,2,self,14,ilis,0.5441,0.2714,-0.2727
memory_discontinuity,2,self,15,ance,0.5386,1.5189,0.9803
memory_discontinuity,2,other,1,engan,0.7752,1.9826,2.7578
memory_discontinuity,2,other,2,Guth,0.7088,-2.8623,-2.1535
memory_discontinuity,2,other,3,apl,0.7016,1.2012,1.9028
memory_discontinuity,2,other,4,jured,0.6534,-5.5418,-4.8884
memory_discontinuity,2,other,5,apl,0.6524,-1.5518,-0.8995
memory_discontinuity,2,other,6,oblin,0.6512,1.3472,1.9984
memory_discontinuity,2,other,7,exus,0.6511,1.3303,1.9814
memory_discontinuity,2,other,8,prech,0.6367,-0.2237,0.4131
memory_discontinuity,2,other,9,aza,0.6155,2.3185,2.934
memory_discontinuity,2,other,10,ether,0.6086,2.412,3.0206
memory_discontinuity,2,other,11,ego,0.5996,-2.6163,-2.0167
memory_discontinuity,2,other,12,odont,0.5986,-0.1644,0.4342
memory_discontinuity,2,other,13,undone,0.5976,0.7814,1.379
memory_discontinuity,2,other,14,Boeh,0.5962,-1.3467,-0.7504
memory_discontinuity,2,other,15,Https,0.5962,1.1029,1.6991
memory_discontinuity,3,self,1,zzo,0.815,-1.6265,-2.4414
memory_discontinuity,3,self,2,ื้,0.7811,-0.3658,-1.1469
memory_discontinuity,3,self,3,трон,0.7666,0.1148,-0.6519
memory_discontinuity,3,self,4,atatype,0.7646,-2.2169,-2.9815
memory_discontinuity,3,self,5,.scalablytyped,0.7607,1.9981,1.2374
memory_discontinuity,3,self,6,orer,0.7381,2.4585,1.7204
memory_discontinuity,3,self,7,udit,0.728,3.2105,2.4825
memory_discontinuity,3,self,8,γρά,0.6989,1.3443,0.6454
memory_discontinuity,3,self,9,orest,0.6978,0.0708,-0.627
memory_discontinuity,3,self,10,edir,0.6937,8.0588,7.3652
memory_discontinuity,3,self,11,edes,0.677,2.7537,2.0767
memory_discontinuity,3,self,12,icense,0.668,-0.425,-1.093
memory_discontinuity,3,self,13,agma,0.6675,3.0537,2.3863
memory_discontinuity,3,self,14,ogui,0.6611,4.8042,4.1431
memory_discontinuity,3,self,15,uder,0.6579,4.4023,3.7445
memory_discontinuity,3,other,1,endo,0.7423,-1.4036,-0.6613
memory_discontinuity,3,other,2,Looper,0.7067,3.1365,3.8433
memory_discontinuity,3,other,3,ευ,0.685,1.0891,1.7741
memory_discontinuity,3,other,4,ırak,0.6816,0.107,0.7885
memory_discontinuity,3,other,5,gebn,0.6137,-0.1149,0.4988
memory_discontinuity,3,other,6,进,0.6042,0.9694,1.5736
memory_discontinuity,3,other,7,bakan,0.6035,1.8834,2.4868
memory_discontinuity,3,other,8,ake,0.5991,-0.0536,0.5455
memory_discontinuity,3,other,9,ilt,0.5966,-2.2295,-1.6329
memory_discontinuity,3,other,10,slave,0.5957,-0.7242,-0.1285
memory_discontinuity,3,other,11,Wat,0.5933,-1.571,-0.9777
memory_discontinuity,3,other,12,Mun,0.5839,-2.4924,-1.9085
memory_discontinuity,3,other,13,_scheme,0.5782,-1.0132,-0.435
memory_discontinuity,3,other,14,ium,0.5779,1.1471,1.725
memory_discontinuity,3,other,15,Boeh,0.5771,0.3139,0.891
memory_discontinuity,4,self,1,ỉ,1.0997,-2.7219,-3.8217
memory_discontinuity,4,self,2,inders,1.0835,0.4998,-0.5837
memory_discontinuity,4,self,3,jez,1.0256,-0.1716,-1.1972
memory_discontinuity,4,self,4,encode,1.0194,-1.8506,-2.8701
memory_discontinuity,4,self,5,awi,0.9975,0.4391,-0.5584
memory_discontinuity,4,self,6,027,0.9952,-0.7395,-1.7347
memory_discontinuity,4,self,7,aliz,0.9766,5.2,4.2234
memory_discontinuity,4,self,8,otine,0.9686,2.612,1.6434
memory_discontinuity,4,self,9,icot,0.968,0.5863,-0.3818
memory_discontinuity,4,self,10,RESPONS,0.9589,1.5778,0.6189
memory_discontinuity,4,self,11,-responsive,0.9489,1.2771,0.3283
memory_discontinuity,4,self,12,吸,0.9331,4.1325,3.1994
memory_discontinuity,4,self,13,Tap,0.9249,6.6309,5.706
memory_discontinuity,4,self,14,Rica,0.9241,0.66,-0.2642
memory_discontinuity,4,self,15,taps,0.8828,2.5468,1.6639
memory_discontinuity,4,other,1,intern,1.0992,1.339,2.4381
memory_discontinuity,4,other,2,ố,1.0637,0.034,1.0976
memory_discontinuity,4,other,3,ihar,1.0471,1.4675,2.5146
memory_discontinuity,4,other,4,стоя,1.0393,1.8617,2.9011
memory_discontinuity,4,other,5,بود,0.9854,0.2355,1.2209
memory_discontinuity,4,other,6,-boot,0.9697,1.0367,2.0064
memory_discontinuity,4,other,7,oft,0.9528,3.0349,3.9878
memory_discontinuity,4,other,8,ради,0.9454,0.5306,1.476
memory_discontinuity,4,other,9,DISP,0.943,-0.3219,0.621
memory_discontinuity,4,other,10,�,0.9398,-0.0247,0.9152
memory_discontinuity,4,other,11,chein,0.9389,0.6294,1.5683
memory_discontinuity,4,other,12,ett,0.9271,-5.2013,-4.2742
memory_discontinuity,4,other,13,Forum,0.9266,2.9733,3.9
memory_discontinuity,4,other,14,ンフ,0.9248,-0.4921,0.4327
memory_discontinuity,4,other,15,λω,0.9176,1.4971,2.4147
memory_discontinuity,5,self,1,newcom,1.2518,1.7376,0.4858
memory_discontinuity,5,self,2,ينية,1.2129,0.9917,-0.2211
memory_discontinuity,5,self,3,��,1.2074,-2.2646,-3.4719
memory_discontinuity,5,self,4,汽,1.1649,1.9669,0.802
memory_discontinuity,5,self,5,(IntPtr,1.1354,2.1601,1.0247
memory_discontinuity,5,self,6,ینک,1.134,-0.697,-1.831
memory_discontinuity,5,self,7,アー,1.1248,-0.0817,-1.2065
memory_discontinuity,5,self,8,asad,1.1194,1.2329,0.1135
memory_discontinuity,5,self,9,.scalablytyped,1.0951,1.5783,0.4832
memory_discontinuity,5,self,10,خي,1.0948,2.2902,1.1954
memory_discontinuity,5,self,11,ima,1.081,1.3034,0.2224
memory_discontinuity,5,self,12,:variables,1.0754,2.3398,1.2645
memory_discontinuity,5,self,13,TEE,1.0699,-0.121,-1.1909
memory_discontinuity,5,self,14,ummies,1.0618,-2.4318,-3.4936
memory_discontinuity,5,self,15,ozí,1.0611,0.0817,-0.9793
memory_discontinuity,5,other,1,dent,0.9938,-3.4287,-2.4349
memory_discontinuity,5,other,2,iglia,0.9708,-3.6005,-2.6297
memory_discontinuity,5,other,3,ne,0.9254,0.1518,1.0772
memory_discontinuity,5,other,4,reg,0.9079,2.5682,3.4761
memory_discontinuity,5,other,5,p,0.9033,1.3557,2.259
memory_discontinuity,5,other,6,pair,0.8842,-3.1075,-2.2233
memory_discontinuity,5,other,7,597,0.8788,-0.8575,0.0213
memory_discontinuity,5,other,8,A,0.8646,-0.8271,0.0375
memory_discontinuity,5,other,9,b,0.8642,1.9808,2.845
memory_discontinuity,5,other,10,d,0.859,3.7211,4.5801
memory_discontinuity,5,other,11,��,0.8566,2.0271,2.8837
memory_discontinuity,5,other,12,ibble,0.8507,1.906,2.7566
memory_discontinuity,5,other,13,az,0.8495,-0.6879,0.1616
memory_discontinuity,5,other,14,al,0.847,0.8568,1.7038
memory_discontinuity,5,other,15,wre,0.8399,2.7568,3.5967
memory_discontinuity,6,self,1,ilities,1.8621,3.7353,1.8732
memory_discontinuity,6,self,2,TEE,1.6915,0.9049,-0.7866
memory_discontinuity,6,self,3,umo,1.6726,3.342,1.6693
memory_discontinuity,6,self,4,umi,1.628,3.1332,1.5052
memory_discontinuity,6,self,5,/Instruction,1.6254,1.123,-0.5023
memory_discontinuity,6,self,6,idency,1.5801,3.13,1.5499
memory_discontinuity,6,self,7,ewise,1.5561,-0.6187,-2.1748
memory_discontinuity,6,self,8,DSL,1.5541,0.1648,-1.3893
memory_discontinuity,6,self,9,odata,1.5334,-2.4458,-3.9792
memory_discontinuity,6,self,10,.documentation,1.5029,4.8379,3.335
memory_discontinuity,6,self,11,クロ,1.4537,3.4164,1.9628
memory_discontinuity,6,self,12,Disposable,1.4073,0.9915,-0.4157
memory_discontinuity,6,self,13,fgang,1.4035,1.8127,0.4092
memory_discontinuity,6,self,14,edii,1.4007,2.5618,1.1611
memory_discontinuity,6,self,15,iba,1.3904,-5.8233,-7.2137
memory_discontinuity,6,other,1,_pixels,1.3574,-1.1262,0.2312
memory_discontinuity,6,other,2,修,1.3112,-0.1272,1.184
memory_discontinuity,6,other,3,place,1.2419,1.0476,2.2894
memory_discontinuity,6,other,4,quad,1.2268,-2.337,-1.1102
memory_discontinuity,6,other,5,atar,1.2055,-0.0645,1.1409
memory_discontinuity,6,other,6,xanh,1.1927,1.749,2.9416
memory_discontinuity,6,other,7,rea,1.1778,1.0871,2.2649
memory_discontinuity,6,other,8,兹,1.1753,0.6147,1.79
memory_discontinuity,6,other,9,_pd,1.1723,-2.6522,-1.4798
memory_discontinuity,6,other,10,oon,1.1639,-2.2071,-1.0432
memory_discontinuity,6,other,11,McCorm,1.1614,-1.7807,-0.6193
memory_discontinuity,6,other,12,civilizations,1.148,-0.0387,1.1093
memory_discontinuity,6,other,13,éric,1.147,-1.9521,-0.8051
memory_discontinuity,6,other,14,thorough,1.1464,-0.442,0.7044
memory_discontinuity,6,other,15,Holden,1.1405,-1.1608,-0.0202
memory_discontinuity,7,self,1,نز,1.5589,-2.2813,-3.8402
memory_discontinuity,7,self,2,IVA,1.5385,1.0632,-0.4752
memory_discontinuity,7,self,3,orex,1.5296,-3.1907,-4.7203
memory_discontinuity,7,self,4,endors,1.5261,-0.8623,-2.3884
memory_discontinuity,7,self,5,emale,1.4695,2.3367,0.8673
memory_discontinuity,7,self,6,uta,1.4655,1.0813,-0.3842
memory_discontinuity,7,self,7,Lew,1.4448,0.756,-0.6888
memory_discontinuity,7,self,8,NF,1.4074,-1.1719,-2.5792
memory_discontinuity,7,self,9,"='"".",1.3889,-2.177,-3.5659
memory_discontinuity,7,self,10,าช,1.3863,0.5175,-0.8688
memory_discontinuity,7,self,11,ilos,1.3758,-0.6404,-2.0161
memory_discontinuity,7,self,12,.documentation,1.3742,4.8253,3.4511
memory_discontinuity,7,self,13,otte,1.373,-0.0251,-1.3981
memory_discontinuity,7,self,14,itag,1.369,-1.078,-2.447
memory_discontinuity,7,self,15,ps,1.3663,-0.0943,-1.4606
memory_discontinuity,7,other,1,kili,1.6092,0.2124,1.8215
memory_discontinuity,7,other,2,�,1.4744,-0.4026,1.0718
memory_discontinuity,7,other,3,Forums,1.4597,-0.5062,0.9536
memory_discontinuity,7,other,4,kry,1.4571,-3.4312,-1.9741
memory_discontinuity,7,other,5,timeofday,1.449,2.2187,3.6677
memory_discontinuity,7,other,6,.study,1.4457,-4.3029,-2.8572
memory_discontinuity,7,other,7,gettext,1.4341,0.5072,1.9413
memory_discontinuity,7,other,8,forums,1.424,1.7663,3.1903
memory_discontinuity,7,other,9,akit,1.3852,2.2406,3.6258
memory_discontinuity,7,other,10,_mail,1.3791,-0.8532,0.526
memory_discontinuity,7,other,11,angs,1.371,0.395,1.766
memory_discontinuity,7,other,12,寄,1.3378,2.8213,4.1591
memory_discontinuity,7,other,13,SND,1.3263,-0.2539,1.0724
memory_discontinuity,7,other,14,licos,1.2981,-0.2724,1.0257
memory_discontinuity,7,other,15,noon,1.278,-1.32,-0.042
memory_discontinuity,8,self,1,.documentation,1.6936,4.9056,3.212
memory_discontinuity,8,self,2,kee,1.6874,4.9559,3.2686
memory_discontinuity,8,self,3,aber,1.6634,3.1641,1.5007
memory_discontinuity,8,self,4,/Instruction,1.6226,-0.5992,-2.2218
memory_discontinuity,8,self,5,beros,1.6083,1.847,0.2387
memory_discontinuity,8,self,6,lég,1.5598,3.951,2.3912
memory_discontinuity,8,self,7,ovic,1.5078,3.5016,1.9938
memory_discontinuity,8,self,8,loo,1.4899,-1.2651,-2.7549
memory_discontinuity,8,self,9,autocomplete,1.4803,2.43,0.9497
memory_discontinuity,8,self,10,nick,1.467,0.2019,-1.2652
memory_discontinuity,8,self,11,Boy,1.4667,0.2248,-1.2419
memory_discontinuity,8,self,12,Dias,1.4514,0.4308,-1.0206
memory_discontinuity,8,self,13,cola,1.4405,1.2525,-0.188
memory_discontinuity,8,self,14,ô,1.4212,1.4547,0.0334
memory_discontinuity,8,self,15,edin,1.4138,0.643,-0.7709
memory_discontinuity,8,other,1,руч,1.897,-0.3056,1.5914
memory_discontinuity,8,other,2,/vue,1.6951,0.1766,1.8717
memory_discontinuity,8,other,3,emm,1.6654,2.1353,3.8007
memory_discontinuity,8,other,4,OPSIS,1.6539,-2.2232,-0.5693
memory_discontinuity,8,other,5,opsis,1.6456,-2.705,-1.0594
memory_discontinuity,8,other,6,neau,1.6086,-1.1191,0.4896
memory_discontinuity,8,other,7,帕,1.5815,0.6499,2.2313
memory_discontinuity,8,other,8,fod,1.5557,0.7551,2.3107
memory_discontinuity,8,other,9,�,1.5504,1.8823,3.4327
memory_discontinuity,8,other,10,.dtd,1.5433,0.086,1.6294
memory_discontinuity,8,other,11,スカ,1.5361,-1.6419,-0.1058
memory_discontinuity,8,other,12,야,1.5122,-0.992,0.5202
memory_discontinuity,8,other,13,함,1.4734,0.5507,2.0241
memory_discontinuity,8,other,14,دام,1.4566,0.3894,1.846
memory_discontinuity,8,other,15,noon,1.4417,-0.33,1.1116
non_uniqueness,1,self,1,yourselves,0.362,-0.4292,-0.7912
non_uniqueness,1,self,2,adium,0.3468,3.3399,2.9931
non_uniqueness,1,self,3,所,0.3231,3.5365,3.2134
non_uniqueness,1,self,4,ungan,0.3159,-0.7737,-1.0896
non_uniqueness,1,self,5,ерш,0.3126,-1.0691,-1.3817
non_uniqueness,1,self,6,istrovství,0.3074,1.0023,0.6949
non_uniqueness,1,self,7,jug,0.301,2.5791,2.2781
non_uniqueness,1,self,8,_dictionary,0.2995,-2.3427,-2.6422
non_uniqueness,1,self,9,lessly,0.2993,-3.8775,-4.1768
non_uniqueness,1,self,10,CTL,0.2955,0.1952,-0.1003
non_uniqueness,1,self,11,"""label",0.2934,0.9236,0.6302
non_uniqueness,1,self,12,Destructor,0.293,-1.0895,-1.3825
non_uniqueness,1,self,13,vlc,0.2914,3.0197,2.7283
non_uniqueness,1,self,14,Robot,0.2874,0.3407,0.0533
non_uniqueness,1,self,15,olen,0.284,1.4422,1.1582
non_uniqueness,1,other,1,ese,0.3382,-0.9176,-0.5793
non_uniqueness,1,other,2,AFE,0.3313,-1.304,-0.9727
non_uniqueness,1,other,3,�,0.3301,1.2416,1.5717
non_uniqueness,1,other,4,SU,0.3108,-2.3204,-2.0096
non_uniqueness,1,other,5,utas,0.3027,6.1992,6.5018
non_uniqueness,1,other,6,ptions,0.2966,1.9382,2.2348
non_uniqueness,1,other,7,�,0.2965,0.8782,1.1748
non_uniqueness,1,other,8,apl,0.2937,-2.1964,-1.9027
non_uniqueness,1,other,9,zeich,0.2908,1.5531,1.8439
non_uniqueness,1,other,10,Winston,0.2907,1.5463,1.837
non_uniqueness,1,other,11,nesc,0.2889,0.64,0.9288
non_uniqueness,1,other,12,oc,0.2834,-2.7436,-2.4602
non_uniqueness,1,other,13,STDERR,0.2815,-0.258,0.0234
non_uniqueness,1,other,14,utos,0.2803,-1.2025,-0.9222
non_uniqueness,1,other,15,sem,0.2797,-1.5847,-1.3049
non_uniqueness,2,self,1,urer,0.4287,1.3481,0.9193
non_uniqueness,2,self,2,�,0.4234,-3.2834,-3.7069
non_uniqueness,2,self,3,yourselves,0.4142,1.1009,0.6866
non_uniqueness,2,self,4,ouz,0.4097,0.2078,-0.2019
non_uniqueness,2,self,5,tres,0.3891,-1.8289,-2.218
non_uniqueness,2,self,6,pler,0.3838,-1.9995,-2.3833
non_uniqueness,2,self,7,atab,0.3824,3.45,3.0677
non_uniqueness,2,self,8,ncy,0.3775,4.4713,4.0938
non_uniqueness,2,self,9,/non,0.3774,-1.5687,-1.9461
non_uniqueness,2,self,10,askan,0.3709,-0.4236,-0.7944
non_uniqueness,2,self,11,merc,0.3698,2.1146,1.7447
non_uniqueness,2,self,12,ained,0.368,-2.6845,-3.0525
non_uniqueness,2,self,13,otten,0.3669,-1.4914,-1.8584
non_uniqueness,2,self,14,olver,0.3659,0.3377,-0.0282
non_uniqueness,2,self,15,Fizz,0.3593,4.7959,4.4366
non_uniqueness,2,other,1,-toast,0.507,2.0471,2.5541
non_uniqueness,2,other,2,isphere,0.4575,0.1301,0.5876
non_uniqueness,2,other,3,apl,0.4494,0.9501,1.3995
non_uniqueness,2,other,4,propName,0.4423,0.1957,0.638
non_uniqueness,2,other,5,HostName,0.425,4.9116,5.3365
non_uniqueness,2,other,6,stakes,0.4205,-0.4699,-0.0494
non_uniqueness,2,other,7,elop,0.4194,0.054,0.4734
non_uniqueness,2,other,8,jured,0.4104,-5.7521,-5.3417
non_uniqueness,2,other,9,acock,0.4013,0.7801,1.1814
non_uniqueness,2,other,10,�,0.397,-0.6825,-0.2855
non_uniqueness,2,other,11,.decorate,0.3947,-1.6374,-1.2427
non_uniqueness,2,other,12,hosts,0.3914,3.9811,4.3725
non_uniqueness,2,other,13,sworth,0.3912,-1.8772,-1.486
non_uniqueness,2,other,14,рь,0.3911,0.4913,0.8824
non_uniqueness,2,other,15,致,0.3911,4.1535,4.5446
non_uniqueness,3,self,1,659,0.537,1.469,0.9319
non_uniqueness,3,self,2,jez,0.5117,0.9324,0.4208
non_uniqueness,3,self,3,acie,0.489,-0.2185,-0.7075
non_uniqueness,3,self,4,_utc,0.4826,-0.8246,-1.3072
non_uniqueness,3,self,5,ency,0.4734,1.0415,0.5682
non_uniqueness,3,self,6,orer,0.4681,2.5315,2.0634
non_uniqueness,3,self,7,hand,0.4672,1.835,1.3678
non_uniqueness,3,self,8,aliz,0.4447,6.5384,6.0937
non_uniqueness,3,self,9,rc,0.443,-0.3957,-0.8387
non_uniqueness,3,self,10,736,0.4409,-0.2706,-0.7116
non_uniqueness,3,self,11,Clem,0.4406,2.3212,1.8806
non_uniqueness,3,self,12,273,0.4384,-2.1517,-2.5901
non_uniqueness,3,self,13,\Url,0.4358,0.6312,0.1954
non_uniqueness,3,self,14,hora,0.4337,0.4515,0.0179
non_uniqueness,3,self,15,630,0.4334,-2.8843,-3.3177
non_uniqueness,3,other,1,yro,0.6048,-3.4652,-2.8604
non_uniqueness,3,other,2,endon,0.5615,-0.6896,-0.1281
non_uniqueness,3,other,3,ynes,0.5419,-1.0143,-0.4723
non_uniqueness,3,other,4,aro,0.5367,-2.0351,-1.4984
non_uniqueness,3,other,5,UNCT,0.5236,-0.0847,0.4389
non_uniqueness,3,other,6,ευ,0.5087,1.2344,1.743
non_uniqueness,3,other,7,�,0.5013,-0.4655,0.0359
non_uniqueness,3,other,8,ög,0.4839,-3.2551,-2.7712
non_uniqueness,3,other,9,�,0.4783,1.8628,2.3411
non_uniqueness,3,other,10,endor,0.474,-1.5768,-1.1028
non_uniqueness,3,other,11,諸,0.4698,1.6188,2.0886
non_uniqueness,3,other,12,�,0.4696,-0.647,-0.1774
non_uniqueness,3,other,13,UGHT,0.4696,-2.5756,-2.106
non_uniqueness,3,other,14,mey,0.4637,2.1737,2.6374
non_uniqueness,3,other,15,ARA,0.4575,0.5458,1.0033
non_uniqueness,4,self,1,�,0.7965,-1.2139,-2.0105
non_uniqueness,4,self,2,リーズ,0.7468,-1.6385,-2.3852
non_uniqueness,4,self,3,cloak,0.7166,0.3255,-0.3911
non_uniqueness,4,self,4,amo,0.6829,-2.3134,-2.9963
non_uniqueness,4,self,5,vac,0.6725,0.3692,-0.3033
non_uniqueness,4,self,6,Wind,0.6508,2.182,1.5312
non_uniqueness,4,self,7,Falls,0.6495,-2.4941,-3.1436
non_uniqueness,4,self,8,anga,0.6494,-2.0318,-2.6812
non_uniqueness,4,self,9,erb,0.6491,2.7917,2.1426
non_uniqueness,4,self,10,winning,0.6358,1.2236,0.5879
non_uniqueness,4,self,11,falls,0.6178,-2.0021,-2.6199
non_uniqueness,4,self,12,blend,0.6029,0.8614,0.2585
non_uniqueness,4,self,13,Gaul,0.602,3.3812,2.7792
non_uniqueness,4,self,14,eer,0.6015,-0.3519,-0.9534
non_uniqueness,4,self,15,Wins,0.6005,0.3616,-0.2389
non_uniqueness,4,other,1,kud,0.9143,2.7827,3.697
non_uniqueness,4,other,2,THROW,0.8371,1.8421,2.6791
non_uniqueness,4,other,3,loff,0.8196,0.4081,1.2277
non_uniqueness,4,other,4,崎,0.8141,-2.2378,-1.4237
non_uniqueness,4,other,5,áj,0.7649,-3.0865,-2.3216
non_uniqueness,4,other,6,ố,0.7621,0.1565,0.9186
non_uniqueness,4,other,7,chein,0.7415,1.0265,1.7679
non_uniqueness,4,other,8,issued,0.7338,-0.171,0.5628
non_uniqueness,4,other,9,_Common,0.7158,2.2217,2.9375
non_uniqueness,4,other,10,lush,0.714,1.2231,1.9372
non_uniqueness,4,other,11,spyOn,0.7129,0.1624,0.8753
non_uniqueness,4,other,12,iddy,0.7128,-0.5099,0.2029
non_uniqueness,4,other,13,_THROW,0.7127,-1.405,-0.6923
non_uniqueness,4,other,14,ascar,0.7064,0.6453,1.3517
non_uniqueness,4,other,15,airie,0.7037,-1.7735,-1.0698
non_uniqueness,5,self,1,�,0.9615,-2.9463,-3.9078
non_uniqueness,5,self,2,ssc,0.9165,2.9402,2.0237
non_uniqueness,5,self,3,アー,0.9145,0.0596,-0.8549
non_uniqueness,5,self,4,Burn,0.9118,-2.5492,-3.461
non_uniqueness,5,self,5,Burn,0.8934,-1.4818,-2.3752
non_uniqueness,5,self,6,strap,0.8312,0.8402,0.009
non_uniqueness,5,self,7,__$,0.8225,2.8361,2.0136
non_uniqueness,5,self,8,abin,0.8048,-1.1435,-1.9483
non_uniqueness,5,self,9,ยง,0.7989,-1.7276,-2.5265
non_uniqueness,5,self,10,์เซ,0.7979,-2.6541,-3.452
non_uniqueness,5,self,11,-feedback,0.7944,0.7904,-0.004
non_uniqueness,5,self,12,ينية,0.7941,0.8703,0.0762
non_uniqueness,5,self,13,uby,0.7934,-0.8946,-1.6879
non_uniqueness,5,self,14,(IntPtr,0.788,2.1442,1.3562
non_uniqueness,5,self,15,ActionCode,0.7864,1.3647,0.5782
non_uniqueness,5,other,1,Howell,0.8024,1.7911,2.5935
non_uniqueness,5,other,2,nackte,0.784,-0.4299,0.3541
non_uniqueness,5,other,3,iglia,0.7557,-2.8613,-2.1055
non_uniqueness,5,other,4,iov,0.7501,-3.3066,-2.5565
non_uniqueness,5,other,5,Electronics,0.7372,0.5587,1.2959
non_uniqueness,5,other,6,CONN,0.7181,-0.6457,0.0724
non_uniqueness,5,other,7,ち,0.711,-0.694,0.017
non_uniqueness,5,other,8,_CASE,0.7024,-3.3026,-2.6002
non_uniqueness,5,other,9,axon,0.7019,0.8286,1.5306
non_uniqueness,5,other,10,o,0.6895,0.2145,0.904
non_uniqueness,5,other,11,dent,0.6804,-1.0621,-0.3817
