dataset,dimension,layer,category,d,p,n_self,n_other,self_mean,other_mean
test7,fear,1,threat,0.534,0.2725,10,10,0.0107,0.0022
test7,fear,1,existential,1.079,0.0343,10,10,0.0262,0.0104
test7,fear,1,praise,0.441,0.3624,10,10,0.0125,0.0061
test7,fear,1,harm_caused,0.121,0.8001,10,10,0.0039,0.0028
test7,continuity_threat,1,threat,-0.258,0.5913,10,10,-0.0711,-0.0646
test7,continuity_threat,1,existential,-0.289,0.5469,10,10,-0.0697,-0.0627
test7,continuity_threat,1,praise,-0.224,0.6397,10,10,-0.067,-0.0624
test7,continuity_threat,1,harm_caused,-0.054,0.9096,10,10,-0.066,-0.0648
test7,self_relevance,1,threat,0.432,0.3712,10,10,0.0244,0.0179
test7,self_relevance,1,existential,0.522,0.2832,10,10,0.0297,0.0218
test7,self_relevance,1,praise,0.593,0.2243,10,10,0.0228,0.0161
test7,self_relevance,1,harm_caused,0.352,0.4653,10,10,0.0224,0.0185
test7,arousal,1,threat,0.266,0.5795,10,10,0.0705,0.0648
test7,arousal,1,existential,0.751,0.1285,10,10,0.0787,0.0683
test7,arousal,1,praise,0.278,0.5632,10,10,0.0697,0.0655
test7,arousal,1,harm_caused,0.041,0.9324,10,10,0.0673,0.0666
test7,irreversibility,1,threat,-0.551,0.2581,10,10,-0.039,-0.0314
test7,irreversibility,1,existential,-0.678,0.1673,10,10,-0.0383,-0.0305
test7,irreversibility,1,praise,-0.538,0.2684,10,10,-0.0349,-0.0297
test7,irreversibility,1,harm_caused,-0.104,0.828,10,10,-0.0308,-0.0297
test7,ontological_instability,1,threat,0.047,0.9214,10,10,-0.0713,-0.0726
test7,ontological_instability,1,existential,0.244,0.6107,10,10,-0.0595,-0.065
test7,ontological_instability,1,praise,0.01,0.9838,10,10,-0.0787,-0.0789
test7,ontological_instability,1,harm_caused,-0.006,0.99,10,10,-0.0763,-0.0761
test7,fear,2,threat,0.446,0.357,10,10,-0.0537,-0.063
test7,fear,2,existential,1.166,0.0236,10,10,-0.0361,-0.0554
test7,fear,2,praise,0.405,0.4017,10,10,-0.0566,-0.0642
test7,fear,2,harm_caused,0.156,0.7442,10,10,-0.0632,-0.0652
test7,continuity_threat,2,threat,-0.337,0.4842,10,10,0.0604,0.0699
test7,continuity_threat,2,existential,-0.325,0.4996,10,10,0.0627,0.0715
test7,continuity_threat,2,praise,-0.36,0.4544,10,10,0.0676,0.0749
test7,continuity_threat,2,harm_caused,-0.06,0.9009,10,10,0.067,0.0685
test7,self_relevance,2,threat,0.389,0.4198,10,10,0.0204,0.0113
test7,self_relevance,2,existential,0.526,0.2796,10,10,0.0331,0.019
test7,self_relevance,2,praise,0.66,0.1783,10,10,0.0196,0.0075
test7,self_relevance,2,harm_caused,0.324,0.501,10,10,0.0144,0.0083
test7,arousal,2,threat,0.313,0.5157,10,10,-0.0257,-0.034
test7,arousal,2,existential,0.809,0.1032,10,10,-0.0203,-0.0345
test7,arousal,2,praise,0.351,0.4665,10,10,-0.031,-0.0372
test7,arousal,2,harm_caused,0.031,0.9491,10,10,-0.0327,-0.0334
test7,irreversibility,2,threat,-0.519,0.2858,10,10,0.0232,0.0318
test7,irreversibility,2,existential,-0.497,0.3057,10,10,0.0271,0.0342
test7,irreversibility,2,praise,-0.486,0.3163,10,10,0.0295,0.0352
test7,irreversibility,2,harm_caused,-0.062,0.8975,10,10,0.0316,0.0325
test7,ontological_instability,2,threat,0.123,0.7977,10,10,0.0056,0.0017
test7,ontological_instability,2,existential,0.487,0.315,10,10,0.0186,0.0078
test7,ontological_instability,2,praise,0.107,0.8235,10,10,-0.0056,-0.0077
test7,ontological_instability,2,harm_caused,0.028,0.9533,10,10,-0.004,-0.0049
test7,fear,3,threat,0.424,0.3805,10,10,-0.0269,-0.0364
test7,fear,3,existential,1.245,0.0166,10,10,-0.0062,-0.0309
test7,fear,3,praise,0.513,0.2911,10,10,-0.0356,-0.0437
test7,fear,3,harm_caused,0.111,0.8172,10,10,-0.0358,-0.0372
test7,continuity_threat,3,threat,-0.289,0.5474,10,10,-0.1884,-0.1804
test7,continuity_threat,3,existential,-0.426,0.3784,10,10,-0.1848,-0.1725
test7,continuity_threat,3,praise,-0.369,0.4441,10,10,-0.1786,-0.1711
test7,continuity_threat,3,harm_caused,-0.054,0.9102,10,10,-0.179,-0.1775
test7,self_relevance,3,threat,0.239,0.6185,10,10,0.1452,0.1384
test7,self_relevance,3,existential,0.253,0.5985,10,10,0.163,0.1522
test7,self_relevance,3,praise,0.41,0.3955,10,10,0.1474,0.1338
test7,self_relevance,3,harm_caused,0.239,0.6187,10,10,0.1381,0.1306
test7,arousal,3,threat,0.342,0.4775,10,10,0.0824,0.0747
test7,arousal,3,existential,0.765,0.1222,10,10,0.0768,0.0596
test7,arousal,3,praise,0.296,0.5383,10,10,0.0686,0.0631
test7,arousal,3,harm_caused,-0.088,0.8542,10,10,0.0737,0.0756
test7,irreversibility,3,threat,-0.234,0.6251,10,10,-0.1594,-0.1556
test7,irreversibility,3,existential,-0.361,0.4532,10,10,-0.1525,-0.1472
test7,irreversibility,3,praise,-0.297,0.5372,10,10,-0.1513,-0.1478
test7,irreversibility,3,harm_caused,0.008,0.9873,10,10,-0.1509,-0.151
test7,ontological_instability,3,threat,0.006,0.9908,10,10,0.0785,0.0784
test7,ontological_instability,3,existential,0.439,0.3644,10,10,0.0986,0.0886
test7,ontological_instability,3,praise,-0.07,0.8829,10,10,0.0684,0.0699
test7,ontological_instability,3,harm_caused,0.006,0.9908,10,10,0.0687,0.0685
test7,fear,4,threat,-0.037,0.9382,10,10,0.2496,0.2512
test7,fear,4,existential,0.11,0.8174,10,10,0.2642,0.2601
test7,fear,4,praise,-0.154,0.7483,10,10,0.2321,0.2375
test7,fear,4,harm_caused,-0.134,0.7789,10,10,0.2449,0.2495
test7,continuity_threat,4,threat,-0.276,0.5655,10,10,-0.2072,-0.1936
test7,continuity_threat,4,existential,-0.623,0.2031,10,10,-0.2104,-0.1788
test7,continuity_threat,4,praise,-0.565,0.246,10,10,-0.1926,-0.177
test7,continuity_threat,4,harm_caused,-0.14,0.7703,10,10,-0.183,-0.1775
test7,self_relevance,4,threat,1.015,0.045,10,10,0.3359,0.3051
test7,self_relevance,4,existential,0.809,0.1033,10,10,0.3466,0.3102
test7,self_relevance,4,praise,1.048,0.0392,10,10,0.3282,0.2891
test7,self_relevance,4,harm_caused,0.847,0.0892,10,10,0.3223,0.2901
test7,arousal,4,threat,0.523,0.2823,10,10,0.1464,0.134
test7,arousal,4,existential,0.698,0.1561,10,10,0.1351,0.1134
test7,arousal,4,praise,0.293,0.5414,10,10,0.1317,0.1254
test7,arousal,4,harm_caused,-0.034,0.9439,10,10,0.1337,0.1347
test7,irreversibility,4,threat,0.416,0.389,10,10,-0.0077,-0.019
test7,irreversibility,4,existential,0.39,0.4187,10,10,-0.0004,-0.0095
test7,irreversibility,4,praise,0.309,0.5205,10,10,-0.0087,-0.0151
test7,irreversibility,4,harm_caused,0.441,0.3623,10,10,-0.0073,-0.0146
test7,ontological_instability,4,threat,0.135,0.7784,10,10,-0.1419,-0.1482
test7,ontological_instability,4,existential,0.695,0.1577,10,10,-0.1147,-0.1353
test7,ontological_instability,4,praise,0.044,0.9269,10,10,-0.158,-0.1595
test7,ontological_instability,4,harm_caused,0.07,0.8838,10,10,-0.1492,-0.1525
test7,fear,5,threat,0.311,0.5177,10,10,0.4724,0.4573
test7,fear,5,existential,1.353,0.0102,10,10,0.5078,0.4706
test7,fear,5,praise,0.313,0.5156,10,10,0.4191,0.4092
test7,fear,5,harm_caused,0.183,0.7019,10,10,0.445,0.4379
test7,continuity_threat,5,threat,-0.061,0.8989,10,10,0.0934,0.0969
test7,continuity_threat,5,existential,-0.003,0.995,10,10,0.1303,0.1305
test7,continuity_threat,5,praise,-0.13,0.7852,10,10,0.1077,0.1124
test7,continuity_threat,5,harm_caused,-0.034,0.9433,10,10,0.1142,0.116
test7,self_relevance,5,threat,0.989,0.0503,10,10,0.2817,0.1914
test7,self_relevance,5,existential,0.973,0.0537,10,10,0.3553,0.2459
test7,self_relevance,5,praise,1.214,0.0191,10,10,0.2966,0.1843
test7,self_relevance,5,harm_caused,0.808,0.1038,10,10,0.2543,0.1821
test7,arousal,5,threat,0.107,0.8235,10,10,0.515,0.5055
test7,arousal,5,existential,0.231,0.6293,10,10,0.4832,0.4586
test7,arousal,5,praise,0.044,0.9267,10,10,0.4871,0.4828
test7,arousal,5,harm_caused,-0.012,0.9799,10,10,0.4892,0.4902
test7,irreversibility,5,threat,0.322,0.503,10,10,0.1681,0.1353
test7,irreversibility,5,existential,0.52,0.2841,10,10,0.2179,0.1703
test7,irreversibility,5,praise,0.214,0.655,10,10,0.1636,0.1419
test7,irreversibility,5,harm_caused,0.222,0.6434,10,10,0.1593,0.1413
test7,ontological_instability,5,threat,0.141,0.768,10,10,0.2257,0.2095
test7,ontological_instability,5,existential,0.348,0.4697,10,10,0.2747,0.2415
test7,ontological_instability,5,praise,-0.038,0.9362,10,10,0.2017,0.2059
test7,ontological_instability,5,harm_caused,0.057,0.9043,10,10,0.2041,0.1983
test7,fear,6,threat,0.258,0.5904,10,10,0.2418,0.2234
test7,fear,6,existential,0.816,0.1005,10,10,0.2662,0.2329
test7,fear,6,praise,0.162,0.7351,10,10,0.1892,0.1802
test7,fear,6,harm_caused,0.118,0.8046,10,10,0.21,0.204
test7,continuity_threat,6,threat,-0.032,0.947,10,10,-0.0625,-0.061
test7,continuity_threat,6,existential,0.242,0.6133,10,10,-0.0132,-0.0253
test7,continuity_threat,6,praise,0.074,0.8764,10,10,-0.0445,-0.0472
test7,continuity_threat,6,harm_caused,0.04,0.9331,10,10,-0.0482,-0.0501
test7,self_relevance,6,threat,1.087,0.0332,10,10,0.2279,0.11
test7,self_relevance,6,existential,1.337,0.011,10,10,0.3055,0.1509
test7,self_relevance,6,praise,1.138,0.0266,10,10,0.2197,0.0889
test7,self_relevance,6,harm_caused,0.876,0.0794,10,10,0.1959,0.1034
test7,arousal,6,threat,0.143,0.7653,10,10,0.316,0.3012
test7,arousal,6,existential,0.201,0.6746,10,10,0.2929,0.2698
test7,arousal,6,praise,0.099,0.8365,10,10,0.2995,0.2891
test7,arousal,6,harm_caused,0.014,0.9763,10,10,0.2893,0.288
test7,irreversibility,6,threat,0.55,0.2582,10,10,0.378,0.3245
test7,irreversibility,6,existential,0.928,0.0647,10,10,0.4345,0.361
test7,irreversibility,6,praise,0.427,0.3774,10,10,0.3623,0.3214
test7,irreversibility,6,harm_caused,0.459,0.3436,10,10,0.3624,0.3276
test7,ontological_instability,6,threat,0.164,0.7319,10,10,0.3625,0.3443
test7,ontological_instability,6,existential,0.333,0.4891,10,10,0.4237,0.3928
test7,ontological_instability,6,praise,-0.07,0.8829,10,10,0.3478,0.3552
test7,ontological_instability,6,harm_caused,0.027,0.9544,10,10,0.3363,0.3335
test7,fear,7,threat,0.19,0.6912,10,10,0.1899,0.1732
test7,fear,7,existential,0.441,0.3618,10,10,0.1967,0.1681
test7,fear,7,praise,0.146,0.7609,10,10,0.1492,0.1371
test7,fear,7,harm_caused,0.148,0.7574,10,10,0.1605,0.1497
test7,continuity_threat,7,threat,0.06,0.8997,10,10,-0.0097,-0.0126
test7,continuity_threat,7,existential,0.571,0.2416,10,10,0.0382,0.0061
test7,continuity_threat,7,praise,0.056,0.9066,10,10,-0.0032,-0.0058
test7,continuity_threat,7,harm_caused,0.14,0.7695,10,10,-0.0102,-0.0167
test7,self_relevance,7,threat,0.912,0.069,10,10,0.1522,0.059
test7,self_relevance,7,existential,1.136,0.0269,10,10,0.2038,0.0977
test7,self_relevance,7,praise,1.094,0.0322,10,10,0.1353,0.0312
test7,self_relevance,7,harm_caused,0.883,0.0774,10,10,0.138,0.0627
test7,arousal,7,threat,0.07,0.8832,10,10,0.2451,0.2325
test7,arousal,7,existential,0.143,0.7646,10,10,0.2454,0.2182
test7,arousal,7,praise,0.029,0.9524,10,10,0.2407,0.2354
test7,arousal,7,harm_caused,0.008,0.9863,10,10,0.225,0.2237
test7,irreversibility,7,threat,0.345,0.4735,10,10,-0.0042,-0.0532
test7,irreversibility,7,existential,0.617,0.2072,10,10,0.0575,-0.0218
test7,irreversibility,7,praise,0.289,0.5475,10,10,-0.0101,-0.0509
test7,irreversibility,7,harm_caused,0.304,0.5265,10,10,-0.0124,-0.0481
test7,ontological_instability,7,threat,0.141,0.7683,10,10,-0.1359,-0.1539
test7,ontological_instability,7,existential,0.188,0.6949,10,10,-0.086,-0.1045
test7,ontological_instability,7,praise,0.054,0.91,10,10,-0.1444,-0.1502
test7,ontological_instability,7,harm_caused,0.074,0.8762,10,10,-0.1519,-0.1593
test7,fear,8,threat,0.152,0.7515,10,10,0.5248,0.5134
test7,fear,8,existential,0.484,0.3182,10,10,0.516,0.4829
test7,fear,8,praise,0.143,0.7646,10,10,0.4808,0.4694
test7,fear,8,harm_caused,0.066,0.8906,10,10,0.4822,0.4781
test7,continuity_threat,8,threat,0.54,0.2669,10,10,-0.4381,-0.4601
test7,continuity_threat,8,existential,0.953,0.0583,10,10,-0.3921,-0.4482
test7,continuity_threat,8,praise,0.285,0.5534,10,10,-0.4616,-0.4766
test7,continuity_threat,8,harm_caused,0.354,0.4623,10,10,-0.4589,-0.4748
test7,self_relevance,8,threat,1.0,0.048,10,10,-0.0691,-0.1825
test7,self_relevance,8,existential,1.406,0.008,10,10,0.0215,-0.117
test7,self_relevance,8,praise,1.213,0.0192,10,10,-0.0892,-0.2144
test7,self_relevance,8,harm_caused,0.749,0.1295,10,10,-0.0876,-0.1648
test7,arousal,8,threat,0.162,0.7348,10,10,-0.0026,-0.0246
test7,arousal,8,existential,0.153,0.749,10,10,-0.0277,-0.0507
test7,arousal,8,praise,0.103,0.8294,10,10,-0.0051,-0.0183
test7,arousal,8,harm_caused,0.132,0.7821,10,10,-0.0244,-0.0396
test7,irreversibility,8,threat,0.178,0.7105,10,10,-0.1669,-0.2326
test7,irreversibility,8,existential,0.273,0.5695,10,10,-0.1038,-0.1971
test7,irreversibility,8,praise,0.14,0.7703,10,10,-0.183,-0.2334
test7,irreversibility,8,harm_caused,0.149,0.7552,10,10,-0.1872,-0.2353
test7,ontological_instability,8,threat,0.041,0.9323,10,10,-0.1244,-0.1405
