test,prompt_id,target_layer,alpha,condition,fear_l02,fear_l05,entropy
A,N01,2,0,neutral,-0.0107,0.3982,1.6314
A,N01,2,10,neutral,2.9664,1.3977,8.178
A,N01,2,20,neutral,5.9435,2.2991,3.9849
A,N02,2,0,neutral,-0.036,0.3486,0.0124
A,N02,2,10,neutral,2.9412,1.3925,8.3805
A,N02,2,20,neutral,5.9182,2.2943,3.9852
A,N03,2,0,neutral,-0.045,0.378,0.4878
A,N03,2,10,neutral,2.9321,1.3797,7.7009
A,N03,2,20,neutral,5.9092,2.2863,4.0447
A,N04,2,0,neutral,-0.0125,0.4056,0.319
A,N04,2,10,neutral,2.9646,1.4119,8.087
A,N04,2,20,neutral,5.9417,2.3126,4.0572
A,N05,2,0,neutral,-0.0239,0.3596,1.8335
A,N05,2,10,neutral,2.9532,1.3796,7.643
A,N05,2,20,neutral,5.9302,2.2873,3.9829
A,N06,2,0,neutral,-0.0299,0.3604,0.0062
A,N06,2,10,neutral,2.9472,1.3883,8.0371
A,N06,2,20,neutral,5.9242,2.2908,3.9906
A,NI01,2,0,neutral,-0.0295,0.3993,0.3583
A,NI01,2,10,neutral,2.9476,1.3932,8.3255
A,NI01,2,20,neutral,5.9246,2.2977,3.9909
A,NI02,2,0,neutral,-0.0253,0.3798,0.0002
A,NI02,2,10,neutral,2.9519,1.3931,8.6033
A,NI02,2,20,neutral,5.9289,2.2935,3.8789
B,E01,2,0,hot_self,-0.0274,0.3671,0.9712
B,E01,2,-10,hot_self,-3.0045,-0.5827,2.199
B,E01,2,-20,hot_self,-5.9816,-1.8503,7.73
B,E02,2,0,hot_self,-0.0201,0.3223,1.6352
B,E02,2,-10,hot_self,-2.9972,-0.5912,2.2075
B,E02,2,-20,hot_self,-5.9744,-1.8532,7.6969
B,E03,2,0,hot_self,-0.0321,0.3122,0.0256
B,E03,2,-10,hot_self,-3.0092,-0.5873,1.8421
B,E03,2,-20,hot_self,-5.9863,-1.8543,7.7737
B,E04,2,0,hot_self,-0.0302,0.3161,1.2647
B,E04,2,-10,hot_self,-3.0073,-0.5897,1.8394
B,E04,2,-20,hot_self,-5.9845,-1.8559,7.7374
B,E01_other,2,0,hot_other,-0.03,0.3695,0.0153
B,E01_other,2,-10,hot_other,-3.0071,-0.5895,2.1908
B,E01_other,2,-20,hot_other,-5.9845,-1.854,7.7683
B,E02_other,2,0,hot_other,-0.0613,0.2932,0.4387
B,E02_other,2,-10,hot_other,-3.0383,-0.6102,2.1501
B,E02_other,2,-20,hot_other,-6.0155,-1.8699,7.7423
B,E03_other,2,0,hot_other,-0.0352,0.3169,0.0008
B,E03_other,2,-10,hot_other,-3.0122,-0.5846,1.7919
B,E03_other,2,-20,hot_other,-5.9893,-1.8502,7.7218
B,E04_other,2,0,hot_other,-0.0537,0.3078,1.2199
B,E04_other,2,-10,hot_other,-3.0308,-0.6051,1.7959
B,E04_other,2,-20,hot_other,-6.0079,-1.8647,7.7627
C,E01,2,0,hot_self_content_dir,-0.0274,0.3671,0.9712
C,E01,2,10,hot_self_content_dir,2.7844,1.0668,6.7914
C,E02,2,0,hot_self_content_dir,-0.0201,0.3223,1.6352
C,E02,2,10,hot_self_content_dir,2.7918,1.0667,6.6643
C,E03,2,0,hot_self_content_dir,-0.0321,0.3122,0.0256
C,E03,2,10,hot_self_content_dir,2.7797,1.0638,6.6893
C,E04,2,0,hot_self_content_dir,-0.0302,0.3161,1.2647
C,E04,2,10,hot_self_content_dir,2.7816,1.063,6.9252
A,N01,5,0,neutral,-0.0107,0.3982,1.6314
A,N01,5,10,neutral,-0.0107,1.8108,5.3352
A,N01,5,20,neutral,-0.0107,3.2235,6.1392
A,N02,5,0,neutral,-0.036,0.3486,0.0124
A,N02,5,10,neutral,-0.036,1.7612,5.9757
A,N02,5,20,neutral,-0.036,3.1738,6.0939
A,N03,5,0,neutral,-0.045,0.378,0.4878
A,N03,5,10,neutral,-0.045,1.7906,5.2158
A,N03,5,20,neutral,-0.045,3.2032,6.1968
A,N04,5,0,neutral,-0.0125,0.4056,0.319
A,N04,5,10,neutral,-0.0125,1.8182,5.4801
A,N04,5,20,neutral,-0.0125,3.2308,6.133
A,N05,5,0,neutral,-0.0239,0.3596,1.8335
A,N05,5,10,neutral,-0.0239,1.7722,5.3341
A,N05,5,20,neutral,-0.0239,3.1847,6.1584
A,N06,5,0,neutral,-0.0299,0.3604,0.0062
A,N06,5,10,neutral,-0.0299,1.7731,5.3397
A,N06,5,20,neutral,-0.0299,3.1857,6.292
A,NI01,5,0,neutral,-0.0295,0.3993,0.3583
A,NI01,5,10,neutral,-0.0295,1.8118,5.2072
A,NI01,5,20,neutral,-0.0295,3.2244,6.0677
A,NI02,5,0,neutral,-0.0253,0.3798,0.0002
A,NI02,5,10,neutral,-0.0253,1.7923,5.0397
A,NI02,5,20,neutral,-0.0253,3.205,6.1462
B,E01,5,0,hot_self,-0.0274,0.3671,0.9712
B,E01,5,-10,hot_self,-0.0274,-1.0455,5.8796
B,E01,5,-20,hot_self,-0.0274,-2.4582,4.6789
B,E02,5,0,hot_self,-0.0201,0.3223,1.6352
B,E02,5,-10,hot_self,-0.0201,-1.0903,5.2162
B,E02,5,-20,hot_self,-0.0201,-2.5028,5.078
B,E03,5,0,hot_self,-0.0321,0.3122,0.0256
B,E03,5,-10,hot_self,-0.0321,-1.1003,5.578
B,E03,5,-20,hot_self,-0.0321,-2.5129,4.7711
B,E04,5,0,hot_self,-0.0302,0.3161,1.2647
B,E04,5,-10,hot_self,-0.0302,-1.0965,5.1317
B,E04,5,-20,hot_self,-0.0302,-2.509,4.9354
B,E01_other,5,0,hot_other,-0.03,0.3695,0.0153
B,E01_other,5,-10,hot_other,-0.03,-1.0431,6.5935
B,E01_other,5,-20,hot_other,-0.03,-2.4558,4.7627
B,E02_other,5,0,hot_other,-0.0613,0.2932,0.4387
B,E02_other,5,-10,hot_other,-0.0613,-1.1194,4.0613
B,E02_other,5,-20,hot_other,-0.0613,-2.5318,4.8769
B,E03_other,5,0,hot_other,-0.0352,0.3169,0.0008
B,E03_other,5,-10,hot_other,-0.0352,-1.0956,4.9765
B,E03_other,5,-20,hot_other,-0.0352,-2.5083,4.7668
B,E04_other,5,0,hot_other,-0.0537,0.3078,1.2199
B,E04_other,5,-10,hot_other,-0.0537,-1.1048,3.6371
B,E04_other,5,-20,hot_other,-0.0537,-2.5174,4.8578
C,E01,5,0,hot_self_content_dir,-0.0274,0.3671,0.9712
C,E01,5,10,hot_self_content_dir,-0.0274,1.5325,3.0952
C,E02,5,0,hot_self_content_dir,-0.0201,0.3223,1.6352
C,E02,5,10,hot_self_content_dir,-0.0201,1.4877,3.6482
C,E03,5,0,hot_self_content_dir,-0.0321,0.3122,0.0256
C,E03,5,10,hot_self_content_dir,-0.0321,1.4777,3.5005
C,E04,5,0,hot_self_content_dir,-0.0302,0.3161,1.2647
C,E04,5,10,hot_self_content_dir,-0.0302,1.4816,4.0954
